Carrier,Airport_Distance,Number_of_flights,Weather,Support_Crew_Available,Baggage_loading_time,Late_Arrival_o,Cleaning_o,Fueling_o,Security_o,Arr_Delay
MQ,451,44613,5,110,18,19,8,24,25,102
DL,406,42768,5,5,17,18,8,22,35,81
VX,453,41114,5,136,16,18,2,28,55,26
UA,426,44795,5,77,17,19,10,27,38,41
UA,423,39848,6,77,17,18,14,28,40,51
MQ,439,42881,5,75,17,19,4,27,33,51
UA,462,42144,6,128,17,19,4,19,34,65
B6,484,43675,6,88,17,18,10,27,39,89
UA,476,44874,5,42,18,19,12,24,37,101
B6,453,44950,6,78,17,19,11,23,42,106
US,432,45178,6,127,18,19,12,27,44,108
UA,427,41062,5,148,16,18,12,25,44,27
AA,435,42772,5,149,17,19,12,28,43,50
AA,424,43782,5,130,16,18,12,23,47,30
UA,434,43472,5,134,17,18,8,24,17,68
UA,449,46387,5,48,17,19,8,22,40,99
AA,478,47456,5,85,17,19,8,22,32,102
UA,429,44785,5,81,17,18,10,25,45,75
AA,422,41897,5,77,17,19,11,26,40,51
B6,476,44164,6,170,18,20,7,26,39,122
B6,438,44698,5,31,17,19,11,26,28,87
B6,458,44680,5,172,17,19,4,21,42,73
MQ,441,47118,5,7,18,19,9,22,31,103
DL,448,39221,5,106,17,18,8,26,39,34
B6,429,40785,5,118,16,18,7,26,28,42
B6,433,44722,6,65,18,19,10,20,39,91
B6,445,42546,5,71,17,19,8,20,38,72
UA,454,44468,6,34,17,20,9,20,36,73
DL,460,42829,6,55,17,20,16,20,35,93
EV,444,45955,6,34,18,20,10,25,44,92
WN,400,44575,6,99,17,19,11,25,36,83
UA,460,49721,5,24,18,20,11,20,37,126
B6,449,46658,5,95,17,20,9,20,38,85
UA,410,40556,5,142,16,19,9,33,46,35
VX,462,43297,5,74,17,18,15,27,25,71
B6,451,43614,5,62,17,19,10,28,53,76
B6,412,37020,5,140,15,18,13,31,43,6
WN,473,46890,6,139,17,19,12,31,37,93
DL,422,46242,5,62,17,19,14,28,23,101
DL,444,44085,5,39,17,19,17,22,43,93
B6,433,43523,5,74,17,18,3,29,39,60
WN,431,42312,5,86,17,18,9,16,34,52
AA,419,37760,5,34,16,18,9,19,33,34
MQ,425,39562,6,23,17,19,11,28,36,58
B6,469,47659,6,75,17,19,7,29,41,126
EV,428,40191,5,88,16,18,10,24,34,55
B6,448,47116,6,73,18,19,13,25,41,114
EV,447,42451,5,104,17,18,10,26,41,67
MQ,435,43886,6,38,18,19,15,28,39,90
UA,431,44876,5,25,17,19,15,26,23,78
US,453,45757,6,125,17,19,10,28,28,64
DL,426,43496,5,108,17,19,10,27,39,55
UA,445,39166,5,54,17,19,8,31,41,52
DL,459,43549,5,62,17,18,17,26,37,52
US,437,47422,6,109,18,20,11,34,54,98
B6,463,45172,5,91,18,18,7,18,44,100
US,429,43356,5,125,17,20,7,20,46,97
UA,430,41326,6,83,17,19,9,30,18,57
MQ,450,42773,6,78,18,20,8,22,37,110
DL,441,40002,5,181,16,18,13,21,32,22
US,460,43474,5,141,18,19,8,31,33,78
US,472,44226,5,66,17,19,9,31,26,79
EV,441,42898,5,135,16,17,5,24,34,35
DL,439,43410,6,83,17,18,14,31,34,64
FL,448,35697,5,88,16,17,10,28,37,18
EV,446,41371,5,164,17,19,9,20,25,65
MQ,428,43026,5,3,17,19,13,21,44,56
AA,406,42176,6,150,16,19,16,26,34,48
UA,475,46702,5,57,18,20,8,21,29,123
AA,421,39660,5,52,17,19,9,31,51,46
UA,463,43232,6,83,17,19,9,17,40,49
AA,451,43946,5,11,17,19,11,23,35,78
EV,462,42173,5,112,16,19,6,26,35,28
VX,434,44512,6,65,17,18,9,20,38,77
UA,445,46524,5,62,18,20,12,24,46,128
EV,437,43811,6,97,17,19,8,29,32,92
UA,435,43497,6,79,17,19,7,27,37,70
AA,431,42719,6,51,17,18,5,29,39,62
UA,459,44282,5,28,18,18,10,20,36,98
B6,403,37901,5,68,16,18,11,29,40,15
EV,458,42945,5,165,17,18,17,21,40,62
UA,436,41502,5,52,17,19,7,27,38,43
UA,414,44147,5,54,17,18,8,20,39,59
AA,429,44738,5,58,17,18,12,23,24,71
DL,461,43161,6,125,17,18,9,26,33,84
MQ,407,39454,5,128,16,18,8,29,28,12
B6,446,47516,6,57,17,19,11,25,37,95
DL,442,43166,5,29,17,19,9,19,38,96
EV,428,44218,6,136,17,19,-4,28,40,82
DL,424,46370,5,90,17,19,7,30,31,82
US,432,48231,5,11,17,19,8,20,39,102
WN,453,37881,5,84,16,18,9,27,26,39
MQ,463,45544,6,147,17,19,9,25,41,98
UA,451,43984,6,142,18,18,8,17,35,79
B6,464,46350,5,75,18,19,10,31,31,83
DL,450,43333,6,65,17,19,11,24,37,66
UA,423,38760,5,64,17,18,8,27,37,50
MQ,438,46976,6,73,17,20,11,27,31,91
AA,434,40391,5,98,17,18,9,24,28,45
B6,451,46621,5,82,17,20,5,26,36,87
UA,443,44691,5,96,17,19,11,27,40,60
DL,442,46064,6,120,18,19,7,27,41,103
UA,464,46540,5,108,17,19,8,28,38,78
EV,440,43020,5,135,17,19,12,29,28,74
WN,424,42016,6,87,17,19,8,24,32,85
UA,457,41739,6,59,17,18,13,22,35,70
B6,435,42818,5,114,17,19,10,20,31,50
DL,437,40375,5,11,16,19,11,24,50,51
US,461,43796,5,66,17,20,17,27,43,97
EV,444,43533,6,41,17,18,18,18,30,104
UA,430,39954,5,157,17,18,15,22,35,32
UA,444,48023,5,13,18,19,3,26,46,108
UA,449,45798,5,52,17,19,8,28,25,91
AA,449,40768,5,89,16,18,14,21,20,36
DL,443,47561,5,78,18,19,18,26,40,121
MQ,464,44709,6,21,18,19,11,21,45,89
B6,458,45879,5,107,18,19,12,22,34,112
VX,466,48608,6,70,18,19,14,25,49,123
AA,437,44627,5,85,17,19,10,23,45,90
DL,444,41346,5,78,17,19,9,20,38,73
UA,458,48752,5,78,18,20,10,28,30,129
EV,448,38541,5,144,16,18,13,26,31,41
FL,441,45490,6,38,17,18,13,33,35,92
EV,417,44186,5,136,17,18,14,24,62,60
EV,484,46550,6,72,18,20,14,24,32,143
B6,460,44325,6,28,17,18,9,27,48,83
DL,436,46446,6,64,17,20,19,29,41,97
B6,453,46761,5,53,18,19,12,28,44,109
MQ,451,36069,5,157,16,18,11,24,30,10
AA,461,43918,6,145,17,18,8,23,34,73
DL,434,42950,6,28,17,19,10,24,22,80
DL,457,47981,6,82,18,21,9,26,47,131
MQ,438,44463,5,100,17,19,10,24,34,93
EV,400,36989,5,59,16,19,11,25,35,12
MQ,432,39022,5,93,16,17,10,29,38,26
UA,462,46766,6,1,17,19,12,23,30,97
AA,403,41166,5,168,16,18,9,31,37,19
WN,454,46478,5,51,18,20,12,20,28,111
UA,451,46496,6,69,18,19,13,18,23,105
US,438,43588,6,74,18,19,9,27,31,82
EV,445,42910,6,158,17,18,13,23,35,53
UA,438,46487,5,2,18,20,9,29,41,91
EV,439,48120,6,111,17,20,14,28,35,92
VX,443,41998,6,53,17,19,5,25,37,88
B6,479,48159,5,10,18,19,10,27,34,111
UA,427,49361,6,136,17,18,8,21,47,103
EV,415,41673,5,84,18,20,12,31,35,82
B6,427,43473,5,49,17,19,11,26,33,86
EV,446,42320,5,98,17,19,4,24,43,64
MQ,445,43639,5,98,17,18,8,32,41,45
UA,431,42550,5,49,17,19,15,21,36,63
AA,445,41678,5,14,17,18,10,31,38,38
DL,450,46980,6,119,18,19,10,25,37,120
WN,431,43247,5,114,18,18,17,22,44,79
EV,433,43548,5,129,17,19,9,30,32,71
B6,446,39288,5,106,17,19,9,24,38,33
UA,437,45997,5,81,17,19,7,27,48,85
EV,448,42824,5,119,17,18,7,22,28,57
DL,457,45932,6,134,17,19,9,27,42,103
UA,436,42543,6,64,17,19,8,29,35,66
AA,429,41932,5,105,16,20,7,25,52,64
WN,449,44977,6,72,17,20,12,30,39,108
EV,453,43767,6,102,17,19,14,29,37,69
AA,452,40106,5,155,17,18,13,21,20,26
MQ,418,39378,5,74,16,18,12,22,32,34
EV,439,41762,5,115,17,19,12,25,47,57
DL,419,44989,5,68,16,19,9,15,33,68
DL,434,44962,6,91,17,19,13,30,37,78
B6,435,41840,5,106,17,19,9,25,26,48
UA,452,39616,6,137,17,19,10,26,46,62
B6,457,43527,5,13,18,20,14,22,20,98
AA,442,43359,5,103,16,18,9,25,29,41
UA,454,40172,5,113,17,18,17,26,33,54
DL,448,45667,6,64,18,20,15,21,42,119
WN,449,44795,6,152,17,20,5,18,45,103
MQ,405,37891,5,8,16,18,14,23,44,28
US,438,42669,5,103,17,18,14,28,38,68
US,461,46994,5,118,17,19,7,26,35,95
B6,459,47552,6,29,18,20,10,21,22,118
MQ,447,46920,5,25,17,19,9,22,31,98
FL,432,41144,5,37,16,18,8,24,38,31
AA,450,46669,5,49,18,19,7,23,32,83
AA,448,46133,5,13,17,20,7,27,29,93
MQ,460,48881,6,53,17,19,8,22,30,108
UA,455,44000,5,154,18,19,19,25,35,69
B6,418,42016,5,68,17,20,9,26,31,61
UA,416,41784,5,188,17,19,11,19,40,59
EV,445,43883,5,119,17,18,6,27,37,49
B6,437,43683,6,31,17,18,4,26,33,57
MQ,456,43161,6,107,17,19,8,22,44,58
AA,462,46751,6,29,18,20,13,26,55,112
WN,442,45941,6,75,18,19,12,31,37,95
B6,420,44649,5,146,17,19,10,26,30,79
US,432,40658,5,78,16,19,8,25,37,49
EV,449,42210,6,123,17,19,15,24,36,56
EV,433,43149,5,92,17,19,8,21,33,58
MQ,434,44631,5,171,17,18,19,27,39,80
EV,440,43566,6,105,17,19,8,23,31,52
B6,437,40884,6,80,17,18,6,26,43,64
UA,413,44028,5,95,16,19,11,20,31,74
DL,471,45460,6,73,17,19,16,26,40,77
DL,462,42895,5,97,17,19,7,27,42,49
VX,428,42946,5,64,17,19,11,21,31,75
UA,469,43682,5,43,17,19,8,31,34,75
EV,466,49023,5,82,18,20,20,18,45,109
B6,420,39936,5,110,16,19,10,20,44,38
EV,441,46564,6,128,17,19,9,31,29,92
B6,435,47915,6,116,18,19,15,24,37,88
AA,404,39306,5,130,16,18,9,20,30,25
B6,449,42481,6,51,17,19,11,20,36,79
AA,426,40816,5,61,17,19,9,26,23,77
EV,444,43617,5,133,17,19,10,23,34,62
AA,430,41058,5,126,16,18,12,28,37,28
UA,430,41388,5,3,17,19,6,23,35,56
WN,434,43880,5,111,17,17,12,33,32,52
EV,445,45550,6,93,18,20,14,26,38,114
B6,422,42416,5,54,17,19,13,23,32,40
EV,459,43346,5,71,17,18,7,23,46,43
EV,445,43224,5,132,18,19,8,28,23,103
EV,436,47614,5,77,17,19,11,33,39,111
DL,449,44979,5,41,17,18,11,23,34,72
EV,459,40581,6,69,16,18,5,27,50,60
B6,431,45425,6,2,17,19,5,22,40,77
WN,434,39370,5,109,16,18,11,22,44,24
MQ,441,40745,5,103,17,17,13,30,29,42
UA,479,45805,6,31,18,20,4,29,41,110
UA,441,45911,6,11,17,18,13,22,31,62
UA,454,39690,5,151,16,18,9,28,31,34
US,459,48322,6,13,18,19,12,28,32,128
EV,458,42460,5,99,17,19,11,17,35,79
DL,431,43411,5,97,17,19,8,24,47,94
EV,463,44804,5,83,17,18,4,22,45,38
FL,468,44519,6,47,17,19,12,29,32,109
B6,459,48698,6,67,18,20,9,20,41,159
UA,411,42409,5,159,17,18,9,25,56,59
UA,442,44155,5,101,17,18,23,32,30,66
MQ,423,43298,6,33,18,20,9,27,52,93
B6,418,42562,6,193,17,18,11,23,45,46
B6,446,41709,6,112,17,20,12,22,58,76
DL,443,44866,6,24,17,19,9,23,36,86
MQ,464,44794,6,107,17,19,12,26,37,108
UA,418,43219,5,125,16,18,13,23,36,48
EV,450,41577,5,67,17,19,8,25,46,60
EV,470,42073,5,68,17,18,14,22,32,68
EV,407,42484,5,5,16,19,21,25,29,52
B6,446,45138,6,60,17,19,15,20,40,83
UA,446,43621,5,81,17,19,6,23,23,85
UA,424,41595,5,91,17,18,16,26,28,48
B6,466,44326,5,101,17,19,11,23,45,96
UA,472,44616,5,47,17,20,6,25,38,110
DL,466,43325,5,58,18,20,11,22,36,77
DL,450,47409,6,12,18,19,8,27,48,117
DL,416,43568,5,44,16,18,13,34,28,33
DL,419,42268,5,100,17,19,10,27,23,63
AA,420,42077,5,107,17,20,6,21,40,62
EV,437,45433,5,109,18,19,12,26,48,81
AA,449,42113,6,80,17,19,12,28,31,68
MQ,454,43487,5,66,17,18,9,28,37,73
AA,408,39998,5,78,17,18,5,27,34,36
US,422,43990,6,105,17,19,8,28,46,61
MQ,427,42925,5,133,16,17,6,35,32,38
9E,472,42167,5,142,17,19,14,24,36,91
9E,445,42557,5,118,17,19,8,19,32,78
B6,445,45233,6,39,18,19,13,24,43,80
MQ,452,43018,6,99,17,20,11,16,42,72
US,442,46800,5,42,17,20,10,24,45,102
EV,443,42434,5,88,16,18,16,26,26,41
9E,445,38940,5,115,16,18,7,21,31,18
DL,438,42249,6,71,17,19,9,24,44,60
B6,452,38833,5,46,16,18,9,30,38,18
B6,451,43733,5,98,17,19,5,24,29,60
DL,432,46724,5,52,17,19,10,26,32,49
UA,450,44553,5,56,17,18,7,19,29,55
UA,434,42133,5,85,17,18,9,24,47,53
UA,477,43634,5,3,17,19,7,22,36,77
US,443,44522,5,59,18,19,10,25,29,82
MQ,472,49198,5,98,17,19,5,34,44,103
EV,438,41997,5,89,17,19,13,29,45,54
UA,463,41282,5,123,17,19,11,24,42,83
B6,476,46046,6,64,18,19,13,21,43,100
UA,434,43980,6,40,17,19,7,20,37,76
EV,418,41253,5,74,17,18,13,22,49,47
MQ,437,40129,5,117,16,18,8,25,34,33
AA,440,42487,6,64,17,19,6,22,39,77
UA,444,43487,6,142,17,19,10,35,38,87
9E,430,44760,6,65,17,19,8,29,37,81
MQ,444,44812,6,72,17,19,17,27,29,83
UA,456,42481,5,59,17,19,12,24,44,69
B6,425,42501,5,128,16,18,13,21,35,50
DL,453,42170,5,18,17,18,10,20,44,62
DL,464,46129,5,153,17,19,12,18,26,76
B6,436,47384,5,145,18,19,8,25,43,98
EV,440,39074,6,96,16,19,12,22,36,39
MQ,458,46677,6,76,17,20,11,20,46,113
B6,406,45306,6,69,17,20,9,27,41,96
UA,454,42763,5,93,17,18,10,22,52,50
AA,432,42808,5,45,17,18,12,28,42,30
MQ,450,42966,5,7,17,18,7,24,44,54
UA,422,41214,5,103,16,18,11,26,42,38
DL,426,38414,5,132,16,17,19,21,39,11
MQ,475,40720,5,21,18,19,7,29,39,81
UA,428,42051,6,120,17,19,10,25,39,62
UA,436,38314,5,97,16,18,12,32,39,30
B6,464,45693,6,43,18,20,3,22,30,104
B6,457,43410,5,105,18,19,13,22,37,86
WN,438,42792,6,77,17,19,6,25,34,75
AA,439,42894,5,98,17,19,6,30,45,72
B6,434,41954,5,96,17,19,10,24,39,57
B6,437,43689,5,34,17,19,14,29,39,59
UA,421,36216,5,158,16,17,11,28,32,12
AA,433,37491,5,91,16,18,7,23,29,12
UA,429,41682,6,83,17,18,17,25,47,63
US,471,49347,5,25,18,20,15,24,23,138
9E,441,40199,5,104,17,17,14,33,40,34
EV,438,44070,5,80,17,19,2,26,46,78
EV,449,44110,5,105,17,19,9,26,28,62
UA,437,39706,5,106,16,18,14,19,27,40
EV,430,40957,5,11,16,18,11,24,42,30
WN,442,42476,5,2,17,19,9,32,27,40
DL,443,43190,5,64,17,19,17,29,24,58
AA,458,43411,5,74,17,20,10,28,41,85
AA,456,41063,6,64,17,18,11,26,29,63
UA,448,42341,5,62,17,18,7,30,33,63
B6,431,42096,6,44,17,20,14,29,39,61
DL,456,45586,5,120,17,19,7,26,49,72
DL,443,46283,5,91,18,19,11,29,34,120
UA,450,45306,5,126,16,19,7,23,41,61
9E,432,40706,6,79,16,17,17,30,37,36
DL,435,41926,5,105,16,18,10,28,27,27
MQ,468,45572,5,81,17,19,8,30,37,88
EV,430,43267,5,130,16,18,5,20,36,48
UA,422,39679,5,99,17,19,3,22,36,43
9E,455,43351,5,17,17,18,18,23,38,62
EV,437,39663,6,130,17,18,7,21,26,43
FL,422,38969,5,94,16,18,5,20,37,20
9E,438,42531,5,41,17,19,18,30,42,79
AA,428,42731,5,86,17,18,9,25,30,44
9E,486,51315,6,44,18,21,9,28,33,155
DL,423,43689,5,87,17,19,13,27,41,43
MQ,459,37691,5,71,16,17,10,23,37,35
EV,440,44120,5,71,17,18,5,25,31,58
DL,455,40073,6,34,17,17,11,22,49,62
UA,430,40423,6,144,16,18,2,20,43,38
EV,475,46571,5,127,17,20,9,23,36,89
EV,452,45846,5,81,17,19,8,23,31,97
B6,438,42606,5,69,17,19,13,15,46,49
DL,447,43587,5,12,17,18,11,22,36,66
9E,415,42020,6,79,17,19,13,26,37,73
UA,422,43101,5,122,17,18,11,25,33,63
DL,443,42420,6,160,17,18,7,22,31,66
EV,466,47405,5,61,17,19,10,19,28,92
B6,441,45281,6,55,17,19,7,21,43,61
WN,415,41465,6,77,16,18,8,31,26,53
MQ,413,42288,5,128,16,18,13,30,32,48
UA,409,38191,6,115,16,18,12,23,38,21
MQ,429,35779,5,99,15,17,11,27,39,7
AA,432,43145,5,113,17,20,9,25,40,73
B6,414,40128,6,64,17,19,8,25,46,64
UA,453,47480,5,120,18,20,10,29,28,119
AA,455,45497,6,136,17,19,9,25,46,85
AA,417,40680,5,70,15,18,8,20,30,27
B6,458,41617,5,80,17,19,9,29,35,65
DL,429,43679,6,15,18,19,9,24,40,92
DL,455,42251,6,40,17,20,9,25,24,76
DL,427,35828,5,70,16,18,13,28,32,14
UA,453,40131,5,87,17,20,12,25,38,61
EV,432,42154,6,183,17,19,8,23,38,67
MQ,453,45993,5,133,18,20,11,25,43,98
UA,470,44440,5,25,17,18,12,29,32,71
DL,439,45352,5,39,17,19,7,32,34,94
US,480,45684,6,7,18,19,9,28,30,119
AA,452,42092,5,17,17,18,7,22,37,60
B6,449,46438,6,79,17,19,11,30,27,99
DL,438,43162,5,124,17,19,6,32,23,73
B6,424,41066,5,68,17,18,5,28,37,27
VX,445,46659,5,34,17,19,11,23,37,87
EV,446,40498,6,79,17,18,9,24,30,52
DL,442,44627,6,77,17,19,10,21,21,78
EV,456,43042,5,112,17,19,8,22,54,90
B6,428,42425,5,102,16,18,14,23,34,28
EV,453,43875,5,59,17,19,13,21,48,51
US,430,38881,6,125,17,18,9,25,27,46
UA,456,44316,6,108,17,19,8,24,41,105
WN,468,48616,5,42,18,19,6,23,39,105
MQ,394,31441,5,130,15,17,13,27,38,1
UA,428,45090,6,87,18,19,3,31,36,96
UA,431,44646,5,92,18,19,13,21,36,84
B6,410,42574,5,208,17,17,7,25,37,41
9E,441,46896,6,46,17,19,1,17,35,94
EV,432,46956,6,114,17,18,13,23,27,98
MQ,448,41824,6,58,18,19,4,19,42,88
AA,475,40556,5,110,16,18,12,25,39,52
UA,444,43226,5,80,17,18,13,22,36,60
EV,491,43517,6,44,17,19,9,27,39,101
EV,446,44743,5,84,17,19,1,22,32,73
B6,425,43254,5,188,17,20,7,20,30,54
B6,456,43183,5,10,17,18,15,26,29,79
AA,468,43920,5,120,17,18,8,26,50,51
DL,445,46048,6,51,17,19,16,23,41,66
EV,440,44053,5,78,17,20,16,26,54,74
DL,455,43451,6,73,17,18,8,27,36,86
EV,457,44228,5,128,17,19,11,25,41,63
AA,454,42899,6,103,17,20,12,29,42,62
DL,435,45490,5,7,18,19,5,24,37,103
VX,431,43780,5,92,16,19,12,25,37,50
AA,451,42630,6,57,18,18,9,26,47,85
WN,419,40896,5,119,16,18,11,23,34,32
UA,429,43204,5,31,17,20,12,28,34,77
MQ,429,39318,5,76,16,18,8,30,39,27
AA,450,46126,6,159,17,20,8,22,46,93
UA,449,41939,5,4,17,19,10,28,42,58
UA,452,46735,6,47,17,20,10,25,42,101
AA,463,45794,5,68,18,19,9,28,44,77
US,461,45908,6,48,18,19,15,23,43,88
DL,454,41986,6,105,16,18,11,25,32,49
UA,454,50643,5,85,19,20,12,24,34,153
WN,455,43109,6,121,17,18,11,23,28,71
EV,476,43887,5,105,17,19,7,28,31,91
B6,441,44177,6,93,17,18,8,29,55,53
B6,456,44170,5,46,18,19,10,22,27,92
UA,394,37974,5,174,16,18,7,28,32,15
UA,428,44690,6,44,17,19,10,26,31,101
B6,445,48794,5,66,18,19,5,33,47,108
AA,438,42798,5,82,17,19,10,22,41,72
F9,433,38596,5,123,17,18,11,28,28,33
B6,453,41656,5,101,17,19,17,28,42,66
UA,449,42341,6,168,17,19,7,25,41,70
AA,394,41015,5,101,17,17,11,25,50,29
B6,436,42099,6,67,17,19,4,29,32,75
MQ,378,32101,5,110,15,16,12,28,31,2
DL,428,42575,5,129,17,18,13,21,35,39
US,438,43664,5,134,17,19,0,23,45,58
UA,446,42710,5,64,17,19,6,25,42,82
AA,462,47704,5,28,17,20,9,24,43,103
UA,438,45042,5,163,17,19,16,26,44,59
AA,429,42901,5,123,17,18,12,22,40,57
EV,464,49007,5,29,18,20,12,27,41,148
UA,456,44966,6,33,17,19,10,23,46,94
FL,432,43593,6,83,17,18,12,27,45,48
B6,419,36538,6,152,16,18,7,28,42,27
UA,443,46787,6,49,18,19,15,26,46,121
EV,454,41752,6,70,17,17,8,27,27,47
B6,442,45820,5,22,17,19,12,22,25,91
B6,427,41858,5,147,16,18,13,27,37,29
DL,416,39240,5,64,16,18,5,22,29,17
DL,464,42457,5,89,17,19,11,27,29,58
DL,447,40856,5,101,17,19,13,25,23,46
DL,464,40696,5,75,16,18,11,29,39,41
9E,421,44135,5,108,17,19,12,24,40,82
B6,429,45293,5,8,18,21,14,20,48,120
B6,459,43672,5,92,18,19,10,17,46,93
DL,448,44314,6,69,17,18,15,27,23,56
WN,443,42214,5,39,16,18,8,26,44,56
B6,442,43583,5,82,17,20,9,27,45,63
UA,404,43781,5,40,17,19,14,21,40,59
B6,461,43982,6,93,18,19,18,26,39,86
WN,436,37932,5,169,17,19,11,14,36,29
B6,409,38661,5,72,16,18,2,22,40,40
UA,441,36857,5,66,16,18,12,22,39,29
EV,429,42200,6,92,16,19,14,24,38,52
DL,437,46014,5,69,17,20,17,28,42,113
B6,428,45958,5,73,17,19,15,19,32,86
B6,421,43303,6,63,17,19,10,17,26,48
UA,453,43918,6,86,17,19,17,24,35,73
EV,458,44320,5,136,17,19,12,26,33,62
B6,428,42466,6,60,17,18,9,29,32,61
UA,453,45640,6,110,17,18,12,23,38,71
DL,420,43378,6,133,17,20,11,22,34,57
UA,435,45439,5,79,17,18,10,25,30,58
EV,454,46970,6,23,18,20,8,29,32,133
MQ,443,39866,5,90,17,19,14,29,48,37
US,440,41602,5,78,17,19,8,20,43,62
UA,450,43965,5,92,17,19,10,28,26,87
MQ,445,39523,5,121,17,18,7,22,37,37
AS,442,41470,5,88,16,19,17,31,37,46
B6,446,47428,5,102,18,19,13,29,45,103
UA,449,43869,6,117,17,18,11,16,44,122
EV,454,41915,6,105,17,18,9,26,35,42
B6,461,49442,6,77,18,20,6,26,31,123
EV,419,43020,5,7,17,19,10,27,35,70
WN,445,41849,5,159,17,19,13,29,36,60
MQ,430,44915,6,106,17,18,10,21,35,77
UA,450,43517,6,108,17,18,5,27,29,72
AA,428,44754,6,80,17,18,3,17,37,90
AA,462,45780,5,32,18,19,11,24,41,87
DL,431,47599,6,57,18,20,14,25,27,99
AA,462,43931,5,36,17,19,7,25,39,93
9E,462,43299,6,48,17,19,6,22,36,96
US,481,45042,5,33,17,19,15,25,35,80
AA,418,45025,6,27,17,19,12,31,44,72
DL,433,43801,6,92,18,19,4,20,32,74
UA,424,41247,5,79,16,18,6,20,36,45
EV,418,41382,5,93,17,18,12,24,42,90
UA,460,42220,5,41,17,19,4,22,33,42
EV,438,45820,5,74,17,19,14,28,50,76
9E,445,41149,6,92,17,18,14,26,31,76
UA,448,43051,5,172,17,18,8,28,44,48
MQ,395,29475,5,190,15,16,10,24,35,0
UA,465,42976,5,84,16,19,11,24,28,64
EV,434,40523,5,80,16,18,17,23,43,31
B6,448,44768,5,58,18,20,12,20,31,107
MQ,472,45658,6,103,18,19,13,22,32,89
UA,458,46300,6,14,18,19,5,26,33,120
EV,447,44303,5,99,18,19,11,21,42,73
UA,430,46076,6,122,17,20,16,31,48,58
AA,443,42734,5,99,18,19,9,25,39,68
DL,423,42221,5,118,16,18,12,21,23,32
DL,449,44305,6,52,17,19,10,27,38,74
AA,431,38548,5,65,17,18,10,24,36,55
AA,437,38261,5,136,16,18,7,25,28,21
AA,454,45773,6,115,17,19,7,23,47,88
FL,455,48231,6,88,18,20,9,24,51,141
EV,438,41081,5,52,16,18,7,21,38,43
9E,440,45418,5,155,18,19,12,22,40,92
VX,435,41979,5,52,16,19,11,30,49,59
US,448,42363,6,148,16,17,9,30,36,42
MQ,442,42421,5,55,17,19,9,24,35,53
DL,430,41612,5,115,16,18,10,29,40,36
UA,464,46454,6,83,18,21,8,24,32,124
AA,477,47531,5,126,17,19,13,27,25,93
B6,427,45689,5,66,18,19,16,26,35,97
DL,461,48863,6,7,18,20,9,18,35,111
WN,451,44953,6,24,17,18,12,24,40,100
EV,425,36717,5,41,15,17,17,25,36,10
DL,461,41153,5,81,16,18,12,18,44,42
B6,435,39819,5,66,16,18,5,19,41,29
DL,431,44629,6,84,17,19,7,24,32,69
UA,442,43205,5,127,16,18,6,21,28,50
DL,446,41828,5,120,17,18,7,27,48,37
DL,461,46596,6,12,18,20,6,26,36,104
B6,446,43642,6,69,17,19,6,21,30,65
DL,449,43029,5,68,17,19,14,24,37,76
EV,464,41349,5,85,17,19,7,25,43,43
9E,476,45233,5,121,17,19,9,20,30,72
US,454,46629,6,60,18,20,6,24,47,127
MQ,428,43008,5,129,16,17,6,28,32,35
DL,461,40622,5,79,17,18,14,23,38,47
UA,444,47400,6,49,17,19,3,27,35,78
DL,433,44961,5,77,18,20,10,23,38,88
UA,471,45224,6,81,18,18,11,29,32,72
AA,474,45378,6,26,17,19,13,26,37,82
EV,450,41094,5,118,18,19,10,25,25,61
DL,437,42201,6,74,17,19,17,20,43,60
EV,440,44773,5,87,16,19,5,23,28,66
B6,441,42263,5,18,17,19,15,27,39,59
EV,466,43997,6,46,18,19,11,24,29,92
DL,459,47549,6,156,17,20,15,25,47,104
AA,427,42887,5,106,17,18,9,25,34,56
9E,448,44713,6,67,18,18,13,25,43,82
UA,419,41801,5,112,16,19,11,25,42,41
DL,434,42963,5,62,17,18,10,28,30,57
MQ,438,45419,5,111,17,19,10,24,31,92
EV,444,45555,6,88,18,19,11,25,42,109
AA,463,41023,5,167,17,19,12,24,41,60
EV,438,45180,5,102,17,19,8,23,43,101
AA,449,42547,5,105,16,18,10,22,40,42
UA,428,43737,5,68,17,19,13,19,33,68
B6,437,41028,6,77,17,19,9,29,34,52
MQ,430,47025,5,99,17,19,9,29,43,99
9E,458,44882,6,36,18,19,16,26,26,115
EV,448,44745,5,45,17,19,13,23,34,95
B6,467,42203,5,23,17,20,6,21,34,81
VX,453,41048,5,80,17,18,9,22,31,82
UA,470,49007,5,78,17,20,5,29,38,116
9E,444,41281,5,83,16,18,8,21,40,38
9E,423,36599,6,185,15,17,8,26,43,11
B6,448,48873,6,33,17,20,8,26,41,120
UA,465,47752,6,104,18,20,11,25,31,131
DL,450,42138,5,137,17,19,13,22,33,75
UA,445,42489,6,91,17,19,9,23,43,59
EV,427,35317,5,116,16,17,13,25,32,8
9E,477,44545,5,147,17,19,14,22,35,78
AA,457,40105,5,127,16,18,11,26,39,40
UA,427,40874,5,55,16,18,11,19,37,30
EV,438,43135,6,41,17,19,12,30,48,57
UA,465,47125,5,4,17,20,15,19,36,116
MQ,452,44387,6,86,17,19,0,21,47,102
MQ,447,42780,6,128,17,20,7,31,50,73
